"V1","V2"
"bagnus",-1.19068135387916
"velluto",-1.19068135387916
"extraorinarius",-1.19068135387916
"petramalensen",-1.19068135387916
"lances",-1.19068135387916
"pecor",-1.19068135387916
"petramalis",-1.19068135387916
"comitatinis",-1.19068135387916
"xium",-1.19068135387916
"onerosus",-1.19068135387916
"aqua",-1.19068135387916
"cardinal",-1.19068135387916
"primatus",-1.19068135387916
"cies",-1.19068135387916
"registratio",-1.19068135387916
"expeditio",-1.18136756495634
"serotinus",-1.18136756495634
"ambaxator",-1.18136756495634
"bartholus",-1.18136756495634
"molendinus",-1.18136756495634
"solutio",-1.1795412096729
"emptio",-1.09499402150148
"pisas",-1.02874829475395
"ecclesiasticus",-1.02874829475395
"platea",-1.02874829475395
"ligo",-1.02874829475395
"vicarius",-0.999030224994577
"denarius",-0.997027183055703
"ium",-0.997027183055703
"conscientia",-0.997027183055703
"inquisitus",-0.997027183055703
"propername",-0.997027183055703
"promissio",-0.997027183055703
"astorgius",-0.977605802953912
"regine",-0.950405738991131
"stipendiarium",-0.872467892384143
"iiium",-0.868610393793192
"emptor",-0.855669826661535
"pondus",-0.842301016218992
"bituricensis",-0.826393104070529
"februarius",-0.826393104070529
"accepta",-0.826393104070529
"metus",-0.826393104070529
"qualitas",-0.826393104070529
"bardis",-0.826393104070529
"lancea",-0.826393104070529
"auctoritas",-0.826393104070529
"montiscatinus",-0.826393104070529
"aghinolfus",-0.826393104070529
"summo",-0.826393104070529
"pontificus",-0.826393104070529
"molendina",-0.826393104070529
"conservator",-0.826393104070529
"pedis",-0.826393104070529
"ca",-0.826393104070529
"mulius",-0.797425669801354
"augmentum",-0.797425669801354
"collegiis",-0.797425669801354
"ristorus",-0.797425669801354
"curie",-0.797425669801354
"rumor",-0.797425669801354
"angelus",-0.787331668127819
"reformatio",-0.763269987102238
"questio",-0.75192672952215
"avinion",-0.723513795267329
"possessio",-0.721269268257558
"executor",-0.703305056976443
"filius",-0.666868487182213
"exgomberatio",-0.659697902653008
"succursus",-0.659697902653008
"comunis",-0.659697902653008
"paulus",-0.659697902653008
"coianus",-0.659697902653008
"operatio",-0.649731876966126
"transmissio",-0.625322965765931
"iniuria",-0.604234322561837
"sindicus",-0.573927779373549
"debitus",-0.572100135723311
"diocesis",-0.572100135723311
"pastor",-0.572100135723311
"offensa",-0.572100135723311
"similis",-0.572100135723311
"sartor",-0.572100135723311
"contentatio",-0.572100135723311
"francies",-0.572100135723311
"antonius",-0.572100135723311
"cavalcor",-0.572100135723311
"apulea",-0.572100135723311
"bononiensus",-0.572100135723311
"nihilominus",-0.572100135723311
"equitus",-0.572100135723311
"peditus",-0.572100135723311
"numeral",-0.572100135723311
"distructio",-0.572100135723311
"beltrandus",-0.572100135723311
"terrigenus",-0.572100135723311
"offitio",-0.572100135723311
"curies",-0.572100135723311
"ananies",-0.572100135723311
"punitio",-0.572100135723311
"citas",-0.572100135723311
"nigra",-0.572100135723311
